replay_buffer/Size,replay_buffer/MeanObs,replay_buffer/StdObs,replay_buffer/MeanGoal,replay_buffer/StdGoal,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/QF1 Grad Norm,trainer/QF2 Grad Norm,trainer/Policy Grad Norm,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/SuccessRate,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/SuccessRate,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/batch sampling (s),time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
422000,0.046124805,0.5990541,0.0025740794,0.8150899,2.0712008,1.7847465,3.5511131,40.266464,41.398865,4.9210057,1.2337995,27.652733,19.949127,-83.51431,1.358902,27.602095,19.863764,-83.48712,1.176384,27.764729,19.744165,-82.40555,5.6863317,2.2318947,11.755373,-1.6499782,0.007153938,0.7373683,3.0784104,-2.874942,-1.949379,0.5966408,0.008566558,-3.1015873,0.030436081811785698,-1.0953571796417236,422000,9155,40.0,35.48182633405445,80,6,[0.52],-0.710832785129547,2.396088125750144,19.48636552095413,-5.2948479652404785,-28.43331140518189,42.10732740005828,12.981044018268584,-136.6698792755602,-0.0077220644,0.34843993,0.9985716,-0.99689424,25,-28.43331140518189,405146,8783,30.060606060606062,30.666277396020213,80,5,[0.72727],-0.25741032756669746,3.0928109650008406,19.702760943770407,-2.045402979850769,-7.737910452914082,19.089240132665424,12.385875582695006,-46.09995381534109,0.0050127795,0.34161806,0.9946774,-0.9927401,33,-7.737910452914082,5.219074130058289,0.011606867425143719,7.026716616936028,6.940284983254969,0.3590880185365677,0.055798301473259926,28.664253309369087,48.276822227053344,20297.209115002304,420
423000,0.046115234,0.59903294,0.0026028524,0.8152592,2.2443826,1.7758274,4.1545005,43.790367,28.070057,1.990385,0.8220353,26.52982,19.86279,-82.13913,0.89178467,26.465675,19.491917,-80.342896,0.88010454,26.509714,19.688967,-78.882286,5.997495,2.7629328,16.676926,-6.8212976,-0.019002745,0.7664418,3.138857,-3.3740027,-1.986425,0.6295664,0.019783735,-3.3273625,0.030344851315021515,-0.00875389575958252,423000,9171,62.5,29.755251637316057,80,10,[0.25],-0.7245294189974664,1.3478106849232607,19.320998334884642,-5.7011878490448,-45.2830886873417,30.416071198428956,6.2590451836586,-94.069974207878,-0.03994338,0.3195867,0.993959,-0.99979717,16,-45.2830886873417,406100,8808,38.16,34.228269018458995,80,3,[0.6],-0.6255989161232168,2.7016981434811833,19.472397023439406,-5.821258187294006,-23.87285463926199,53.02765248245707,15.428014230728149,-250.7406909823418,-0.01143892,0.33145478,0.99648,-0.99615484,25,-23.87285463926199,5.291081838309765,0.010157582350075245,6.854014730080962,6.83899615239352,0.36521301697939634,0.05787456315010786,29.021343558095396,48.43868144135922,20345.655422125943,421
424000,0.04611419,0.5990301,0.002650766,0.8151893,1.0466667,1.3077683,2.7793264,21.672417,23.735676,5.6808786,1.8193622,26.05307,19.677662,-78.17846,1.8735108,25.875345,19.667881,-78.35659,1.7690439,26.065327,19.662537,-80.34545,5.4976096,2.601966,11.698406,-5.8605957,0.009006505,0.74326485,3.0018623,-2.7132566,-1.9393325,0.5740037,-0.067765355,-3.377572,0.030166469514369965,-1.7587635517120361,424000,9194,43.47826086956522,33.692818955221576,80,8,[0.52174],-0.5887206759795545,2.277356938407201,19.398888552188872,-5.6749677658081055,-25.59655112954588,33.93018021487328,8.559889566898345,-123.08667859435067,-0.002306536,0.31146365,0.99874514,-0.99858093,23,-25.59655112954588,407054,8832,39.75,34.05418476487141,80,7,[0.58333],-0.35099871693417195,2.444901284234619,19.694864445924757,-1.9922379016876222,-13.952198998133376,21.783023287991078,9.421045112609862,-47.92020900547513,-0.004246268,0.30066088,0.99195355,-0.98753506,24,-13.952198998133376,5.1299405274912715,0.011224186047911644,6.876572836190462,6.956715028733015,0.3575643775984645,0.050812020897865295,28.533174738287926,47.916003715246916,20393.579898135737,422
425000,0.046077985,0.599018,0.0027653298,0.81528294,1.4026328,1.7594956,4.7220764,30.250488,32.368523,2.4205787,0.50653553,27.620127,19.806707,-80.37269,0.5694761,27.515076,19.515985,-84.91156,0.6831665,27.517204,19.67442,-78.70382,6.2058897,2.458989,14.367164,-1.5773139,-0.041747525,0.74437493,2.9907105,-2.9551175,-1.9865786,0.59958845,-0.07328093,-3.2103448,0.030945850536227226,0.7155830264091492,425000,9217,43.47826086956522,34.84733108764497,80,5,[0.52174],-0.6312545307815074,2.249937988725856,19.678721928596495,-5.437546730041504,-27.4458491644134,36.265542659130055,12.192042887210844,-107.65205322504035,0.0071223252,0.34769553,0.99932414,-0.99660033,23,-27.4458491644134,408014,8862,32.0,31.700683483693744,80,7,[0.7],-0.4038382866466417,3.0525861575076787,19.787491971254347,-5.887507915496826,-12.92282517269256,28.16527601077318,9.651698577404021,-98.85459492206567,0.013935139,0.34780836,0.99716175,-0.9845331,30,-12.92282517269256,5.188755813986063,0.01142596360296011,6.9547619335353374,6.981954745016992,0.37421297933906317,0.06329574342817068,28.72219207044691,48.296599249355495,20441.883133649826,423
426000,0.046104264,0.598981,0.0025411441,0.8150702,1.7560256,1.5917978,2.6607456,36.789097,29.50311,3.954784,2.0283184,26.877768,19.622013,-84.119064,2.0351262,26.739092,19.364067,-84.40949,2.1318464,26.646421,19.725122,-83.53959,5.6041756,2.4077818,11.498167,-2.4895124,-0.018874725,0.79064834,2.7940128,-4.200784,-1.8844467,0.6537207,0.5354388,-3.1544619,0.030853271484375,-1.3768292665481567,426000,9242,40.0,32.993332659796586,80,7,[0.56],-0.6333059609159826,2.453359932814416,19.574259722232817,-5.158472180366516,-25.332238436639326,33.565784533669124,11.123630273342132,-86.70897894501675,-0.015763624,0.34929162,0.9991076,-0.999417,25,-25.332238436639326,408949,8878,58.4375,32.03507599101335,80,6,[0.3125],-0.4514345686958435,1.4967186605416047,19.534607076644896,-4.6222458481788635,-26.380707608163412,22.13068263606341,10.940640830993651,-53.98668912798175,0.0034635302,0.24937859,0.9989501,-0.9979876,16,-26.380707608163412,5.247462082654238,0.01167028397321701,6.608017360791564,6.942662883549929,0.3640298107638955,0.0662986971437931,28.874767781235278,48.114908900111914,20490.00486822147,424
427000,0.04611463,0.59893465,0.0023054422,0.81508136,1.7370054,3.296852,3.8212118,35.345634,65.599014,2.9159331,1.0895758,27.90599,19.904057,-79.7393,1.2384343,27.551062,19.755747,-79.01602,1.0878992,28.07448,19.74459,-75.66593,6.1186714,2.5233443,12.703836,-3.3513827,-0.034509376,0.74291176,3.51633,-2.7217617,-2.0060446,0.63005227,0.022181392,-3.1037583,0.031015200540423393,0.4121626019477844,427000,9261,52.63157894736842,33.123708358238844,80,6,[0.36842],-0.6354028988182543,1.752822908268066,19.652450361847876,-5.021991729736328,-33.44225783253975,30.213081543295523,10.640730524063109,-75.30262600779523,-0.015666684,0.2992645,0.99918616,-0.9991369,19,-33.44225783253975,409904,8903,38.2,34.16313802916822,80,8,[0.6],-0.7252226933407845,2.800175877362029,19.4577532351017,-5.589118838310242,-27.703506885617998,71.93082334430224,9.542857539653777,-356.4111590266228,-0.014291327,0.33678886,0.99120563,-0.99989146,25,-27.703506885617998,5.24199887458235,0.010956771671772003,6.82956110034138,6.728310817852616,0.35545859206467867,0.053374321199953556,28.915495126508176,48.13515560422093,20538.145678435452,425
428000,0.04612977,0.59892625,0.0022016112,0.8148663,1.673801,3.120573,4.8536615,25.83843,45.76538,3.5535605,0.30341434,27.674038,19.829517,-87.88558,0.37330294,27.899801,19.840023,-86.641106,0.26991463,27.703732,19.709627,-88.99065,6.2582374,2.7073228,16.191801,-3.115293,-0.02081997,0.7610141,3.5257318,-4.0784597,-1.9897262,0.6148006,-0.11624098,-3.1508842,0.030538054183125496,0.9009245038032532,428000,9288,37.03703703703704,33.0033460497585,80,8,[0.59259],-0.5267989256978033,2.560141017437714,19.727079772949217,-4.9125208258628845,-19.511071322140896,29.039852846546378,7.953919684886932,-71.03481909036638,-0.0059537753,0.34414858,0.99981016,-0.9996073,27,-19.511071322140896,410888,8923,49.2,34.09193453003217,80,8,[0.45],-0.44313948564155664,1.9460802222702118,19.637622767686842,-1.9712363243103028,-21.802462693564628,26.493802633830335,8.961173456907272,-93.4561768770217,-0.0013418566,0.28040445,0.99053836,-0.99737924,20,-21.802462693564628,5.259278570301831,0.012032140046358109,6.761352917179465,7.004773234017193,0.35433657467365265,0.06043254118412733,28.941932778805494,48.39413875620812,20586.54651210457,426
429000,0.046144277,0.59891814,0.0018757108,0.8149131,2.16002,1.5913274,2.5024056,32.153233,27.947079,3.5946138,2.4618702,26.19205,19.518406,-84.4121,2.4799023,26.132153,19.398766,-80.49964,2.4039602,26.337389,19.753141,-86.62757,5.9222903,2.478032,16.51155,-1.3956678,-0.012724806,0.7505876,3.1571922,-3.768207,-1.9846901,0.6170906,-0.24784291,-3.1744266,0.03003680892288685,-0.27238988876342773,429000,9314,38.46153846153846,33.197811291653146,80,7,[0.57692],-0.4896165314897894,2.4948696780763355,19.64032711982727,-5.160365581512451,-18.831405057299623,28.517102798570996,9.796149599552153,-83.07159363627426,-0.015628204,0.32742915,0.9941023,-0.9970202,26,-18.831405057299623,411815,8939,57.9375,32.75948097497883,80,6,[0.3125],-0.3641316262689673,1.483314055597756,19.459277564287184,-2.1137903690338136,-21.096876096958344,19.701423416044808,9.434793853759764,-48.91037137806424,0.010418298,0.22105311,0.98637986,-0.99211043,16,-21.096876096958344,5.239936709403992,0.01164323277771473,6.524425403214991,6.943698353134096,0.35893896594643593,0.052934909239411354,28.802980513311923,47.93455808702856,20634.488872393966,427
430000,0.046140756,0.5989081,0.0017273444,0.8148568,1.5737171,2.0699856,4.6099224,41.36422,43.768196,4.1513824,0.8579292,27.677736,19.984348,-84.35464,0.8880129,27.646498,19.494057,-88.04172,0.81407404,28.099499,19.772514,-81.1257,6.490519,2.8970852,26.478527,-1.0784645,-0.03053868,0.7807852,4.4535713,-4.986824,-2.0305717,0.6202843,-0.17185056,-3.241982,0.03036576136946678,1.7141377925872803,430000,9340,38.46153846153846,33.21171105919251,80,8,[0.57692],-0.7115208873793484,2.671603425668864,19.388404273986815,-5.583441972732544,-27.366187976128792,49.32968586640006,8.958952498435973,-192.13928280770762,-0.0029246728,0.33165568,0.99999917,-0.99541837,26,-27.366187976128792,412815,8960,47.61904761904762,33.99646506900693,80,7,[0.47619],-0.7895135136544702,2.3568048661464034,19.61256998181343,-5.209356188774109,-37.59588160259388,79.1252553652171,9.69869725704193,-373.45175648927693,-0.038163304,0.29922462,0.99369484,-0.99093443,21,-37.59588160259388,5.075982274487615,0.012095172889530659,6.740122503601015,6.994881593622267,0.35969228111207485,0.051747904159128666,28.35789736174047,47.5924190916121,20682.08763216436,428
431000,0.046183877,0.59889424,0.001708305,0.8148674,0.84791493,1.2924324,2.9374027,19.5838,35.243927,2.3092618,2.0143147,26.903925,19.87002,-83.30316,1.9956689,26.787603,19.437622,-85.052475,2.069693,26.920317,19.689112,-82.7626,6.0123405,2.5179548,11.093368,-1.408386,-0.023216138,0.74262166,2.7591705,-2.9173186,-1.9919866,0.6339343,-0.13470656,-3.2203302,0.030129360035061836,0.04321867227554321,431000,9363,43.47826086956522,33.49869506247175,80,9,[0.52174],-0.5965295452952384,2.2747193328794006,19.585806334018706,-5.0948299169540405,-25.93606718674953,32.06535194935759,8.410385704040527,-88.23836637139308,-0.0058987173,0.32233974,0.99996,-0.9951755,23,-25.93606718674953,413801,8982,44.81818181818182,35.24413086360023,80,5,[0.5],-0.3986310325585622,2.1333771447283048,19.54022773504257,-2.1838534832000733,-17.865918095579243,25.039578606131503,12.75451987981796,-61.36096397042284,-0.014661847,0.28033134,0.9938458,-0.993191,22,-17.865918095579243,5.249918406829238,0.011093408800661564,6.71416231431067,6.816169043071568,0.36849948205053806,0.05346358008682728,29.066619076766074,48.27992531191558,20730.37565894425,429
